Strain,Rep,Conc,Number,Dilution_factor,Condition,,
B728a,1,10,8,3,Citrate,8,3
B728a,1,2,13,4,Citrate,13,4
B728a,1,0.4,15,4,Citrate,15,4
B728a,1,0.08,5,4,Citrate,5,5
B728a,1,0.016,9,4,Citrate,22,4
B728a,1,0,9,4,Citrate,8,5
B728a,2,10,22,4,Citrate,22,4
B728a,2,2,21,4,Citrate,5,5
B728a,2,0.4,13,5,Citrate,13,5
B728a,2,0.08,8,5,Citrate,5,5
B728a,2,0.016,8,5,Citrate,6,6
B728a,2,0,29,4,Citrate,5,5
B728a,3,10,35,4,Citrate,2,5
B728a,3,2,5,5,Citrate,5,5
B728a,3,0.4,7,5,Citrate,7,5
B728a,3,0.08,12,4,Citrate,7,5
B728a,3,0.016,7,5,Citrate,26,4
B728a,3,0,2,5,Citrate,21,4
B728a,1,0.04,4,3,EDTA,,
B728a,1,0.02,19,4,EDTA,,
B728a,1,0.01,7,5,EDTA,,
B728a,1,0.005,5,5,EDTA,,
B728a,1,0.0025,22,4,EDTA,,
B728a,1,0,7,5,EDTA,,
B728a,2,0.04,15,3,EDTA,,
B728a,2,0.02,8,4,EDTA,,
B728a,2,0.01,19,4,EDTA,,
B728a,2,0.005,22,4,EDTA,,
B728a,2,0.0025,23,4,EDTA,,
B728a,2,0,24,4,EDTA,,
B728a,3,0.04,2,3,EDTA,,
B728a,3,0.02,2,4,EDTA,,
B728a,3,0.01,12,4,EDTA,,
B728a,3,0.005,30,4,EDTA,,
B728a,3,0.0025,26,4,EDTA,,
B728a,3,0,21,4,EDTA,,
